customer_id,region,city,monthly_usage_kwh,peak_usage_kwh,contract_type,tenure_months,avg_outage_hours,service_tickets,last_bill_amount,payment_delay_days,churn
C00086,West,Hyderabad,417,930,Fixed,21,3.76,6,3626,1,0
C00087,South,Pune,529,751,Variable,44,2.79,1,5323,2,0
C00088,South,Mumbai,644,632,Variable,4,5.89,5,1810,9,0
C00089,West,Delhi,738,1152,Variable,32,1.63,0,2797,5,0
C00090,East,Mumbai,396,718,Fixed,1,1.6,0,6266,4,0
C00091,West,Delhi,583,1113,Variable,37,6.68,4,4341,12,1
C00092,West,Chennai,436,955,Variable,8,0.04,4,2193,17,0
C00093,East,Pune,325,317,Variable,28,4.61,4,4763,10,0
C00094,East,Pune,850,1272,Fixed,19,3.37,6,2870,17,0
C00095,West,Hyderabad,375,614,Fixed,28,1.61,5,4160,4,1
C00096,North,Patna,503,323,Fixed,47,4.99,6,5025,10,0
C00097,East,Bangalore,781,377,Fixed,35,1.17,7,4947,0,0
C00098,West,Patna,758,655,Fixed,19,3.42,2,2953,4,0
C00099,South,Pune,805,763,Fixed,1,4.59,1,2846,1,0
C00100,North,Noida,701,589,Variable,30,2.73,4,2730,14,1
C00101,South,Pune,629,613,Fixed,30,6.06,2,4490,16,0
C00102,East,Patna,719,373,Fixed,29,2.69,6,5691,12,1
C00103,North,Gurgaon,484,499,Fixed,16,0.48,3,6079,3,1
C00104,West,Mumbai,783,993,Fixed,44,5.44,2,3536,19,1
C00105,North,Pune,248,800,Variable,3,0.51,2,3452,17,0
C00106,East,Gurgaon,455,589,Fixed,8,0.32,5,1855,14,0
C00107,North,Patna,553,1100,Variable,7,1.72,6,2080,10,1
C00108,West,Mumbai,704,315,Fixed,5,2.7,6,3115,17,0
C00109,West,Kolkata,538,1071,Fixed,46,5.63,4,3386,6,0
C00110,North,Delhi,746,583,Variable,26,4.1,2,2511,14,0
C00111,West,Bangalore,365,465,Fixed,47,2.41,2,2427,5,0
C00112,North,Delhi,811,1178,Variable,17,5.48,2,6026,7,0
C00113,North,Patna,307,1285,Variable,12,0.8,1,6473,4,1
C00114,North,Noida,647,605,Variable,42,1.41,7,6404,6,1
C00115,North,Patna,606,347,Fixed,5,2.06,1,6435,6,1
C00116,East,Chennai,218,421,Variable,31,3.71,2,1722,18,1
C00117,West,Gurgaon,785,519,Variable,25,2.37,0,1567,9,1
C00118,North,Noida,333,797,Fixed,7,6.34,7,1655,5,1
C00119,West,Noida,335,1029,Variable,33,1.36,5,5124,6,0
C00120,East,Gurgaon,734,535,Variable,24,4.74,1,3407,7,0
C00121,West,Mumbai,473,558,Variable,20,2.11,4,3074,19,1
C00122,West,Patna,368,1250,Fixed,38,2.5,4,6057,19,0
C00123,South,Gurgaon,281,823,Variable,39,4.13,5,5761,5,0
C00124,South,Patna,292,1182,Fixed,39,6.19,4,3124,6,0
C00125,South,Delhi,416,536,Variable,5,6.84,1,1632,11,1
C00126,North,Noida,872,1080,Fixed,13,1.19,7,4764,6,1
C00127,South,Noida,888,502,Variable,18,6.17,7,4392,2,1
C00128,South,Hyderabad,609,407,Fixed,9,0.15,6,1747,19,1
C00129,South,Pune,869,507,Fixed,34,1.46,3,4199,15,0
C00130,West,Gurgaon,356,1132,Fixed,10,1.82,1,1892,10,0
C00131,North,Pune,415,1015,Variable,40,6.99,2,2875,14,0
C00132,West,Kolkata,704,311,Variable,37,2.96,2,5451,0,1
C00133,South,Delhi,785,827,Variable,19,2.25,0,4931,2,0
C00134,East,Patna,785,1235,Variable,1,0.78,5,1752,6,0
C00135,North,Mumbai,402,382,Fixed,17,1.99,7,6209,12,0
C00136,South,Gurgaon,477,1250,Variable,44,4.48,6,4969,11,1
C00137,East,Delhi,836,873,Fixed,8,0.45,4,2539,16,0
C00138,North,Chennai,675,612,Variable,40,1.1,0,2762,11,0
C00139,East,Noida,716,412,Variable,19,1.1,7,6223,0,0
C00140,North,Chennai,431,664,Fixed,5,3.23,1,6038,13,0
C00141,South,Noida,393,539,Variable,26,3.91,3,1847,16,1
C00142,West,Pune,852,732,Variable,11,6.47,0,1746,7,0
C00143,East,Chennai,348,542,Variable,33,3.93,2,2285,9,0
C00144,East,Gurgaon,341,1062,Fixed,46,0.89,6,3122,4,1
C00145,South,Chennai,226,1099,Fixed,22,2.69,1,5326,19,0
C00146,North,Mumbai,553,876,Fixed,35,3.37,7,1639,16,0
C00147,West,Chennai,717,548,Variable,15,1.96,5,3915,8,1
C00148,South,Chennai,886,847,Variable,31,1.32,3,2998,18,0
C00149,South,Delhi,491,758,Fixed,11,0.59,4,3567,16,1
C00150,West,Noida,304,1149,Variable,8,1.95,1,2952,1,1
C00151,North,Bangalore,609,1034,Fixed,17,2.6,5,1519,16,0
C00152,East,Delhi,247,591,Fixed,45,2.69,0,3985,0,0
C00153,East,Hyderabad,712,346,Fixed,28,6.6,2,6056,2,1
C00154,West,Hyderabad,349,390,Variable,45,2.52,7,1618,18,0
C00155,East,Noida,847,1171,Variable,33,5.7,7,2351,12,0
C00156,West,Noida,844,646,Variable,40,4.51,0,3651,19,1
C00157,West,Mumbai,896,632,Fixed,24,6.9,1,4741,15,0
C00158,West,Bangalore,569,721,Variable,7,4.91,6,5248,6,0
C00159,East,Gurgaon,234,1151,Variable,13,3.08,1,3718,14,0
C00160,South,Pune,710,882,Variable,5,1.6,5,1630,7,0
C00161,East,Mumbai,254,390,Variable,19,4.23,3,4064,5,0
C00162,East,Noida,222,866,Fixed,15,4.33,4,3315,18,0
C00163,West,Chennai,407,367,Variable,21,3.32,6,4426,13,0
C00164,East,Mumbai,605,966,Fixed,38,3.18,2,6483,0,0
C00165,West,Hyderabad,586,1198,Variable,36,1.25,5,5801,0,0
C00166,West,Gurgaon,479,597,Fixed,7,1.96,5,3666,8,1
C00167,East,Bangalore,550,880,Fixed,45,1.19,0,5241,8,0
C00168,East,Noida,373,1047,Variable,30,6.78,7,2561,9,0
C00169,West,Gurgaon,446,1142,Fixed,11,1.66,0,5178,11,0
C00170,North,Patna,483,927,Variable,27,0.84,6,1996,16,1
C00171,South,Hyderabad,410,1167,Variable,3,6.53,6,4082,0,1
C00172,East,Patna,849,843,Fixed,23,1.76,2,4118,13,0
C00173,West,Gurgaon,653,1012,Variable,38,5.87,1,1861,9,0
C00174,East,Pune,682,594,Fixed,18,0.27,6,6031,2,0
C00175,South,Delhi,322,1087,Variable,47,4.29,1,4303,14,0
C00176,East,Delhi,223,956,Fixed,34,1.57,4,3444,12,0
C00177,South,Patna,614,639,Fixed,29,6.65,2,3270,9,0
C00178,North,Kolkata,559,399,Variable,3,2.17,5,4436,14,0
C00179,East,Hyderabad,563,1083,Fixed,42,5.14,6,5083,4,0
C00180,East,Delhi,337,620,Variable,9,0.97,5,2960,11,0
C00181,West,Patna,666,1051,Variable,19,3.15,0,2010,6,1
C00182,North,Kolkata,476,744,Variable,13,2.07,6,2895,9,0
C00183,West,Bangalore,792,882,Variable,18,6.75,4,3073,11,1
C00184,East,Bangalore,443,570,Variable,46,3.3,3,4340,19,0
C00185,West,Kolkata,309,466,Variable,29,0.27,4,6300,15,0
C00186,North,Noida,819,1086,Fixed,41,3.67,5,3522,11,0
C00187,North,Mumbai,676,608,Variable,19,0.35,5,1976,10,1
C00188,East,Patna,676,778,Fixed,16,0.75,1,5125,9,1
C00189,North,Hyderabad,601,1093,Variable,1,1.93,7,1588,16,0
C00190,East,Kolkata,753,647,Variable,45,6.8,0,6462,0,1
C00191,West,Hyderabad,223,469,Fixed,5,5.81,1,4267,19,1
C00192,East,Gurgaon,405,1176,Fixed,14,1.96,5,2936,12,0
C00193,East,Hyderabad,655,614,Fixed,47,5.64,7,4340,9,0
C00194,West,Patna,674,594,Variable,46,3.13,3,6386,9,0
C00195,North,Bangalore,610,935,Variable,12,3.93,0,5982,16,0
C00196,North,Noida,347,476,Fixed,28,3.03,0,2760,9,1
C00197,North,Kolkata,523,1283,Fixed,44,0.29,2,2192,18,0
C00198,South,Delhi,896,341,Fixed,8,4.73,5,3851,4,0
C00199,East,Mumbai,464,788,Variable,25,0.85,0,2558,16,1
C00200,North,Hyderabad,246,738,Fixed,12,0.34,3,1744,8,0
C00201,South,Kolkata,451,1024,Variable,27,2.62,5,4212,6,0
C00202,East,Delhi,656,631,Fixed,36,2.55,1,4265,4,1
C00203,West,Delhi,842,1031,Fixed,16,3.86,2,6401,16,0
C00204,East,Bangalore,717,1153,Variable,13,1.74,2,3584,9,1
C00205,East,Noida,598,685,Variable,15,0.29,0,5970,3,0
C00206,West,Hyderabad,361,1205,Fixed,7,1.27,3,4133,14,1
C00207,South,Hyderabad,268,386,Variable,19,5.46,2,4258,14,0
C00208,North,Noida,446,542,Variable,41,0.25,7,3665,15,1
C00209,North,Noida,560,696,Fixed,16,3.41,4,4399,19,0
C00210,North,Delhi,265,525,Variable,47,6.12,3,5436,18,0
C00211,West,Patna,448,476,Variable,21,5.95,7,4758,8,1
C00212,West,Kolkata,587,993,Fixed,18,3.97,4,2275,17,0
C00213,North,Mumbai,561,1050,Fixed,9,0.62,1,2979,1,1
C00214,East,Kolkata,252,1137,Fixed,29,5.17,2,3790,6,1
C00215,East,Patna,672,868,Fixed,15,1.07,1,2668,9,0
C00216,North,Pune,204,1255,Fixed,34,3.45,1,5732,7,0
C00217,North,Patna,738,904,Fixed,32,0.98,7,5409,3,0
C00218,West,Delhi,614,1097,Variable,12,2.41,3,2199,2,1
C00219,North,Hyderabad,364,430,Variable,10,5.57,6,2385,14,0
C00220,South,Kolkata,886,681,Fixed,45,3.43,4,4243,0,1
C00221,East,Kolkata,719,330,Variable,33,2.48,0,2864,7,1
C00222,North,Mumbai,612,590,Fixed,41,0.32,6,2496,6,0
C00223,North,Noida,308,870,Variable,22,6.67,4,2154,14,1
C00224,West,Delhi,470,541,Fixed,40,1.86,1,5326,15,0
C00225,South,Mumbai,897,632,Fixed,11,5.9,7,2143,7,0
C00226,West,Bangalore,326,897,Fixed,34,5.68,1,6001,7,0
C00227,North,Gurgaon,615,1272,Fixed,10,5.13,4,1891,11,1
C00228,East,Noida,605,380,Variable,29,6.3,3,6219,7,0
C00229,South,Patna,302,899,Variable,3,5.37,0,5854,15,0
C00230,South,Gurgaon,679,1014,Fixed,14,0.7,6,2245,6,0
C00231,South,Delhi,231,1148,Fixed,43,4.48,5,1665,8,0
C00232,West,Delhi,484,385,Variable,12,2,3,2234,4,0
C00233,North,Delhi,217,389,Fixed,15,1.11,6,5105,7,0
C00234,North,Bangalore,239,319,Fixed,46,4.7,0,2128,11,0
C00235,North,Hyderabad,344,782,Fixed,26,2.55,1,4767,18,1
C00236,South,Gurgaon,258,1219,Fixed,1,4.71,2,2880,17,1
C00237,South,Chennai,201,444,Variable,25,5.01,2,4139,10,0
C00238,East,Noida,509,664,Fixed,44,6.62,3,2969,17,1
C00239,South,Chennai,511,972,Variable,8,1.42,0,3530,1,0
C00240,North,Chennai,299,877,Fixed,19,2.87,6,3220,9,0
C00241,North,Pune,620,646,Variable,2,1.37,6,4673,6,0
C00242,South,Pune,705,825,Variable,5,5.47,7,2818,18,1
C00243,East,Kolkata,871,586,Fixed,39,3.03,0,3501,2,0
C00244,South,Gurgaon,816,463,Variable,38,3.07,0,4320,10,0
C00245,South,Patna,777,600,Variable,19,0.28,3,5162,9,1
C00246,West,Bangalore,560,843,Fixed,38,1.22,5,3299,16,1
C00247,South,Gurgaon,424,469,Variable,10,4.23,4,1701,4,0
C00248,North,Pune,858,1252,Variable,18,6.3,3,6109,9,0
C00249,North,Noida,432,770,Fixed,41,3.36,0,1776,16,0
C00250,North,Pune,423,813,Variable,39,0.26,4,6226,18,0
C00251,West,Kolkata,616,810,Variable,21,2.68,0,1888,1,1
C00252,West,Kolkata,339,1067,Fixed,14,4.13,5,2844,14,1
C00253,South,Noida,436,699,Variable,27,6.22,3,3512,18,1
C00254,East,Gurgaon,278,715,Variable,4,3.49,1,2618,14,0
C00255,South,Gurgaon,847,426,Fixed,18,6.31,1,5251,9,0
C00256,West,Pune,530,622,Variable,33,4.05,4,2170,16,1
C00257,South,Hyderabad,646,1017,Variable,15,4.48,4,6291,19,0
C00258,West,Hyderabad,361,812,Variable,12,5.8,3,5189,6,0
C00259,North,Chennai,703,1068,Variable,40,3.35,1,4166,10,0
C00260,North,Hyderabad,218,310,Fixed,42,1.53,2,3776,3,1
C00261,West,Delhi,711,1084,Variable,27,1.81,3,3889,10,0
C00262,South,Pune,370,1060,Fixed,20,1.46,0,2595,11,1
C00263,East,Hyderabad,355,823,Fixed,4,3.3,7,3702,13,0
C00264,North,Patna,269,744,Variable,19,6.79,3,4734,0,0
C00265,East,Pune,395,1285,Variable,47,4.49,0,2519,14,0
C00266,West,Kolkata,870,578,Variable,33,1.92,7,3908,13,1
C00267,West,Chennai,295,555,Variable,19,1.49,7,2839,6,0
C00268,East,Delhi,226,875,Fixed,3,5.79,0,5571,0,0
C00269,West,Pune,696,1137,Fixed,32,6.14,3,2448,8,1
C00270,South,Mumbai,223,623,Variable,5,2.48,2,4595,3,1
C00271,South,Pune,400,922,Variable,5,6.04,1,3621,17,0
C00272,South,Mumbai,690,552,Fixed,7,0.9,6,5952,12,0
C00273,West,Mumbai,590,575,Variable,7,5.84,0,5697,12,0
C00274,East,Gurgaon,811,882,Fixed,2,3.05,4,6001,19,0
C00275,North,Noida,627,607,Fixed,14,4.76,4,2943,1,0
C00276,North,Patna,822,701,Fixed,3,6.33,2,3296,14,0
C00277,South,Chennai,449,611,Fixed,17,4.12,4,4655,5,1
C00278,North,Pune,431,700,Fixed,16,5.97,5,4898,13,0
C00279,West,Bangalore,441,1221,Variable,15,0.93,5,6486,16,0
C00280,East,Hyderabad,764,808,Variable,8,0.75,7,2292,7,0
C00281,West,Chennai,245,782,Fixed,12,2.14,5,4800,3,0
C00282,West,Gurgaon,684,482,Fixed,19,5.25,2,1957,7,0
C00283,East,Kolkata,663,469,Variable,36,6.83,2,4931,4,1
C00284,North,Gurgaon,519,1277,Fixed,4,4.02,3,5659,5,1
C00285,East,Delhi,386,1176,Fixed,1,2.27,3,3300,18,1
C00286,West,Gurgaon,647,708,Variable,46,0.75,5,2748,14,0
C00287,East,Kolkata,623,566,Fixed,20,1.03,7,3151,11,0
C00288,East,Delhi,678,926,Fixed,40,3.73,2,5550,13,0
C00289,South,Pune,589,662,Variable,19,1.33,1,2739,11,0
C00290,South,Pune,631,582,Variable,11,5.85,6,2538,2,0
C00291,West,Bangalore,862,355,Variable,46,5.11,6,5477,17,1
C00292,West,Kolkata,819,547,Fixed,46,5.2,2,4507,0,0
C00293,North,Gurgaon,251,912,Variable,34,0.91,3,1668,0,0
C00294,West,Gurgaon,761,680,Fixed,24,5.35,5,1621,11,0
C00295,North,Kolkata,785,522,Variable,25,1.74,6,1982,4,0
C00296,North,Mumbai,616,1180,Fixed,23,3.19,2,5343,6,0
C00297,East,Gurgaon,535,1022,Fixed,14,5.8,7,5332,2,1
C00298,East,Gurgaon,698,940,Variable,32,1.35,2,5164,8,1
C00299,West,Gurgaon,710,303,Variable,12,0.6,0,5472,12,0
C00300,South,Chennai,772,490,Fixed,6,0.46,3,4667,16,1
C00301,South,Chennai,695,398,Fixed,35,6.84,6,3832,8,0
C00302,North,Bangalore,548,1096,Fixed,12,0.1,5,3761,12,0
C00303,West,Patna,583,811,Fixed,34,3.34,6,6313,2,0
C00304,North,Pune,674,1067,Fixed,7,1.34,3,6148,1,0
C00305,East,Noida,794,1206,Variable,25,1.9,2,6415,5,0
C00306,West,Pune,628,893,Variable,1,6.34,5,5532,9,0
C00307,West,Gurgaon,434,884,Fixed,6,4.47,6,5285,0,0
C00308,South,Noida,635,1257,Fixed,35,4.05,1,1513,7,1
C00309,West,Patna,768,1217,Variable,32,5.07,5,6198,17,1
C00310,South,Delhi,676,731,Variable,28,4.56,2,5349,12,0
C00311,West,Bangalore,464,903,Fixed,15,5.33,4,2134,19,0
C00312,East,Noida,760,378,Variable,9,1.99,3,4722,17,1
C00313,North,Chennai,383,708,Fixed,20,6.53,5,4892,12,1
C00314,South,Pune,862,1150,Fixed,24,2.43,7,3986,6,1
C00315,South,Mumbai,774,1102,Variable,40,1.73,6,5748,19,0
C00316,West,Pune,679,1187,Variable,5,1.34,6,4557,10,0
C00317,West,Mumbai,490,1279,Variable,25,3.35,6,1640,15,1
C00318,West,Mumbai,499,667,Variable,13,4.92,2,2384,9,0
C00319,South,Bangalore,211,904,Variable,10,0.88,7,5872,1,0
C00320,South,Kolkata,336,1271,Fixed,14,1.49,0,5365,17,1
C00321,South,Chennai,768,1022,Variable,20,3.96,1,2947,11,1
C00322,West,Mumbai,768,1132,Fixed,44,2.22,3,1780,2,1
C00323,West,Patna,440,722,Fixed,38,2.24,7,2853,6,0
C00324,East,Mumbai,511,534,Fixed,24,2.16,2,3483,1,1
C00325,East,Bangalore,293,345,Fixed,14,6.87,5,1986,11,0
C00326,East,Gurgaon,581,592,Variable,19,2.54,0,6462,19,0
C00327,North,Mumbai,336,813,Fixed,45,1.69,5,5802,15,0
C00328,West,Noida,477,340,Variable,14,6.56,1,4584,0,0
C00329,West,Gurgaon,444,664,Variable,15,6.74,7,3823,4,1
C00330,South,Bangalore,693,395,Fixed,43,3.71,5,4898,7,1
C00331,East,Patna,883,1175,Fixed,16,3.24,7,3089,14,1
C00332,West,Hyderabad,593,925,Fixed,2,5.11,5,5457,15,0
C00333,South,Pune,451,652,Fixed,14,4.99,5,4027,2,1
C00334,West,Mumbai,403,708,Fixed,36,4.87,5,4496,2,0
C00335,West,Patna,233,492,Variable,2,0.67,5,5039,10,0
C00336,South,Hyderabad,245,457,Variable,15,6.26,4,5145,16,0
C00337,South,Patna,251,1258,Variable,8,2.78,5,3663,2,1
C00338,South,Bangalore,527,803,Fixed,13,4.17,6,4551,4,1
C00339,North,Pune,431,408,Variable,31,3.08,1,3689,13,0
C00340,East,Hyderabad,558,526,Variable,32,6.31,3,4127,11,0
C00341,East,Mumbai,266,795,Fixed,17,3.68,3,4295,5,0
C00342,North,Pune,370,984,Variable,6,4.1,6,2967,2,0
C00343,South,Gurgaon,237,622,Variable,44,6.48,4,5887,4,0
C00344,South,Kolkata,526,830,Fixed,42,0.31,3,4199,19,0
C00345,North,Hyderabad,249,1017,Variable,6,2.66,5,2871,19,0
C00346,West,Pune,750,801,Fixed,25,6.55,5,2722,11,0
C00347,North,Hyderabad,881,500,Variable,33,2.73,4,1908,12,0
C00348,North,Delhi,581,816,Variable,12,1.98,3,2552,8,1
C00349,West,Bangalore,537,575,Fixed,38,1.5,7,3840,13,0
C00350,East,Pune,580,1205,Fixed,40,3.64,5,3845,19,0
C00351,South,Hyderabad,360,393,Variable,29,2.52,2,6163,10,1
C00352,East,Bangalore,247,876,Fixed,35,2.04,4,2766,2,0
C00353,South,Patna,794,594,Fixed,30,2.27,3,4042,0,1
C00354,East,Mumbai,528,834,Fixed,8,3.08,3,6288,19,0
C00355,North,Kolkata,774,1221,Variable,32,3.09,6,2247,18,0
C00356,East,Gurgaon,880,839,Fixed,36,1.9,5,3071,0,0
C00357,North,Gurgaon,411,957,Fixed,45,2.18,3,2381,8,0
C00358,South,Chennai,860,1001,Fixed,7,1.01,6,5199,10,0
C00359,South,Noida,453,998,Fixed,3,0.02,1,5201,18,1
C00360,South,Bangalore,292,546,Variable,13,3.57,3,3757,2,0
C00361,North,Patna,312,645,Variable,20,5.98,5,5474,18,1
C00362,West,Mumbai,531,418,Fixed,33,0.2,1,2336,15,0
C00363,North,Mumbai,206,418,Fixed,38,0.3,3,2256,14,0
C00364,West,Mumbai,536,407,Variable,41,2.46,7,1750,14,0
C00365,North,Hyderabad,871,1271,Variable,20,6.42,6,1538,19,1
C00366,North,Chennai,620,754,Variable,9,3.78,4,6291,7,0
C00367,North,Hyderabad,225,624,Fixed,17,0.08,7,5247,18,1
C00368,North,Pune,741,970,Variable,38,3.18,2,2996,9,0
C00369,South,Kolkata,702,948,Variable,35,6.62,1,2953,4,0
C00370,West,Bangalore,326,1128,Variable,18,0.48,5,5601,15,0
C00371,West,Noida,839,955,Variable,46,0.52,2,3518,11,1
C00372,North,Gurgaon,630,831,Fixed,35,0.29,6,6411,12,0
C00373,West,Gurgaon,781,444,Variable,42,5.1,1,4170,9,0
C00374,East,Delhi,385,780,Fixed,9,3.4,7,3992,17,0
C00375,East,Noida,391,1160,Fixed,38,3.31,7,2487,6,1
C00376,South,Gurgaon,784,566,Variable,32,2.54,6,3228,6,0
C00377,South,Gurgaon,524,998,Fixed,4,1.65,4,4560,9,0
C00378,South,Noida,489,457,Fixed,25,2.6,5,5412,6,0
C00379,East,Kolkata,621,1017,Fixed,10,3.58,3,2049,2,0
C00380,South,Hyderabad,863,979,Fixed,30,1.27,3,3498,12,0
C00381,South,Patna,249,1295,Variable,7,5.1,3,3576,11,0
C00382,North,Hyderabad,724,669,Fixed,46,5.05,6,6254,1,0
C00383,South,Gurgaon,201,415,Fixed,36,0.78,6,3362,9,0
C00384,East,Chennai,783,599,Variable,14,2.18,7,6208,4,0
C00385,South,Noida,548,742,Variable,18,1.08,2,4930,17,0
C00386,South,Gurgaon,848,946,Variable,31,1.74,5,3614,1,0
C00387,North,Kolkata,374,406,Fixed,19,5.24,3,1962,12,1
C00388,North,Bangalore,640,818,Variable,18,4.35,7,1555,14,0
C00389,South,Chennai,369,1247,Variable,25,0.08,0,2254,8,1
C00390,South,Delhi,800,776,Variable,44,6.81,7,2893,16,0
C00391,East,Kolkata,776,341,Variable,21,3.84,7,4412,8,1
C00392,West,Gurgaon,245,1017,Variable,16,2,5,5030,2,1
C00393,West,Delhi,629,1040,Fixed,37,4.66,2,5099,10,0
C00394,South,Kolkata,471,978,Variable,19,1.16,3,2937,11,0
